title,abbreviation,code,summary,created_at,updated_at
Alabama,Ala.,AL,aaa,,
Alaska,Alaska,AK,aaa,,
Arizona,Ariz.,AZ,aaa,,
Arkansas,Ark.,AR,aaa,,
California,Calif.,CA,aaa,,
Colorado,Colo.,CO,aaa,,
Connecticut,Conn.,CT,aaa,,
Delaware,Del.,DE,aaa,,
District of Columbia,D.C.,DC,aaa,,
Florida,Fla.,FL,aaa,,
Georgia,Ga.,GA,aaa,,
Hawaii,Hawaii,HI,aaa,,
Idaho,Idaho,ID,aaa,,
Illinois,Ill.,IL,aaa,,
Indiana,Ind.,IN,aaa,,
Iowa,Iowa,IA,aaa,,
Kansas,Kans.,KS,aaa,,
Kentucky,Ky.,KY,aaa,,
Louisiana,La.,LA,aaa,,
Maine,Maine,ME,aaa,,
Maryland,Md.,MD,aaa,,
Massachusetts,Mass.,MA,aaa,,
Michigan,Mich.,MI,aaa,,
Minnesota,Minn.,MN,aaa,,
Mississippi,Miss.,MS,aaa,,
Missouri,Mo.,MO,aaa,,
Montana,Mont.,MT,aaa,,
Nebraska,Nebr.,NE,aaa,,
Nevada,Nev.,NV,aaa,,
New Hampshire,N.H.,NH,aaa,,
New Jersey,N.J.,NJ,aaa,,
New Mexico,N.M.,NM,aaa,,
New York,N.Y.,NY,aaa,,
North Carolina,N.C.,NC,aaa,,
North Dakota,N.D.,ND,aaa,,
Ohio,Ohio,OH,aaa,,
Oklahoma,Okla.,OK,aaa,,
Oregon,Ore.,OR,aaa,,
Pennsylvania,Pa.,PA,aaa,,
Rhode Island,R.I.,RI,aaa,,
South Carolina,S.C.,SC,aaa,,
South Dakota,S.D.,SD,aaa,,
Tennessee,Tenn.,TN,aaa,,
Texas,Tex.,TX,aaa,,
Utah,Utah,UT,aaa,,
Vermont,Vt.,VT,aaa,,
Virginia,Va.,VA,aaa,,
Washington,Wash.,WA,aaa,,
West Virginia,W.Va.,WV,aaa,,
Wisconsin,Wis.,WI,aaa,,
Wyoming,Wyo.,WY,aaa,,
